date,year,semester,quarter,month,month_name,month_start,month_end,day,day_of_week,day_name,week_of_year,week_of_month
2017-09-10,2017,2,3,9,September,2017-09-01,2017-09-30,10,7,Sunday,36,2
2017-09-11,2017,2,3,9,September,2017-09-01,2017-09-30,11,1,Monday,37,2
2017-09-12,2017,2,3,9,September,2017-09-01,2017-09-30,12,2,Tuesday,37,2
2017-09-13,2017,2,3,9,September,2017-09-01,2017-09-30,13,3,Wednesday,37,2
2017-09-14,2017,2,3,9,September,2017-09-01,2017-09-30,14,4,Thursday,37,3
2017-09-15,2017,2,3,9,September,2017-09-01,2017-09-30,15,5,Friday,37,3
2017-09-16,2017,2,3,9,September,2017-09-01,2017-09-30,16,6,Saturday,37,3
2017-09-17,2017,2,3,9,September,2017-09-01,2017-09-30,17,7,Sunday,37,3
2017-09-18,2017,2,3,9,September,2017-09-01,2017-09-30,18,1,Monday,38,3
2017-09-19,2017,2,3,9,September,2017-09-01,2017-09-30,19,2,Tuesday,38,3
2017-09-20,2017,2,3,9,September,2017-09-01,2017-09-30,20,3,Wednesday,38,3
2017-09-21,2017,2,3,9,September,2017-09-01,2017-09-30,21,4,Thursday,38,4
2017-09-22,2017,2,3,9,September,2017-09-01,2017-09-30,22,5,Friday,38,4
2017-09-23,2017,2,3,9,September,2017-09-01,2017-09-30,23,6,Saturday,38,4
2017-09-24,2017,2,3,9,September,2017-09-01,2017-09-30,24,7,Sunday,38,4
2017-09-25,2017,2,3,9,September,2017-09-01,2017-09-30,25,1,Monday,39,4
2017-09-26,2017,2,3,9,September,2017-09-01,2017-09-30,26,2,Tuesday,39,4
2017-09-27,2017,2,3,9,September,2017-09-01,2017-09-30,27,3,Wednesday,39,4
2017-09-28,2017,2,3,9,September,2017-09-01,2017-09-30,28,4,Thursday,39,5
2017-09-29,2017,2,3,9,September,2017-09-01,2017-09-30,29,5,Friday,39,5
2017-09-30,2017,2,3,9,September,2017-09-01,2017-09-30,30,6,Saturday,39,5
2017-10-01,2017,2,4,10,October,2017-10-01,2017-10-31,1,7,Sunday,39,1
2017-10-02,2017,2,4,10,October,2017-10-01,2017-10-31,2,1,Monday,40,1
2017-10-03,2017,2,4,10,October,2017-10-01,2017-10-31,3,2,Tuesday,40,1
2017-10-04,2017,2,4,10,October,2017-10-01,2017-10-31,4,3,Wednesday,40,1
2017-10-05,2017,2,4,10,October,2017-10-01,2017-10-31,5,4,Thursday,40,1
2017-10-06,2017,2,4,10,October,2017-10-01,2017-10-31,6,5,Friday,40,1
2017-10-07,2017,2,4,10,October,2017-10-01,2017-10-31,7,6,Saturday,40,2
2017-10-08,2017,2,4,10,October,2017-10-01,2017-10-31,8,7,Sunday,40,2
2017-10-09,2017,2,4,10,October,2017-10-01,2017-10-31,9,1,Monday,41,2
2017-10-10,2017,2,4,10,October,2017-10-01,2017-10-31,10,2,Tuesday,41,2
2017-10-11,2017,2,4,10,October,2017-10-01,2017-10-31,11,3,Wednesday,41,2
2017-10-12,2017,2,4,10,October,2017-10-01,2017-10-31,12,4,Thursday,41,2
2017-10-13,2017,2,4,10,October,2017-10-01,2017-10-31,13,5,Friday,41,2
2017-10-14,2017,2,4,10,October,2017-10-01,2017-10-31,14,6,Saturday,41,3
2017-10-15,2017,2,4,10,October,2017-10-01,2017-10-31,15,7,Sunday,41,3
2017-10-16,2017,2,4,10,October,2017-10-01,2017-10-31,16,1,Monday,42,3
2017-10-17,2017,2,4,10,October,2017-10-01,2017-10-31,17,2,Tuesday,42,3
2017-10-18,2017,2,4,10,October,2017-10-01,2017-10-31,18,3,Wednesday,42,3
2017-10-19,2017,2,4,10,October,2017-10-01,2017-10-31,19,4,Thursday,42,3
2017-10-20,2017,2,4,10,October,2017-10-01,2017-10-31,20,5,Friday,42,3
2017-10-21,2017,2,4,10,October,2017-10-01,2017-10-31,21,6,Saturday,42,4
2017-10-22,2017,2,4,10,October,2017-10-01,2017-10-31,22,7,Sunday,42,4
2017-10-23,2017,2,4,10,October,2017-10-01,2017-10-31,23,1,Monday,43,4
2017-10-24,2017,2,4,10,October,2017-10-01,2017-10-31,24,2,Tuesday,43,4
2017-10-25,2017,2,4,10,October,2017-10-01,2017-10-31,25,3,Wednesday,43,4
2017-10-26,2017,2,4,10,October,2017-10-01,2017-10-31,26,4,Thursday,43,4
2017-10-27,2017,2,4,10,October,2017-10-01,2017-10-31,27,5,Friday,43,4
2017-10-28,2017,2,4,10,October,2017-10-01,2017-10-31,28,6,Saturday,43,5
2017-10-29,2017,2,4,10,October,2017-10-01,2017-10-31,29,7,Sunday,43,5
2017-10-30,2017,2,4,10,October,2017-10-01,2017-10-31,30,1,Monday,44,5
2017-10-31,2017,2,4,10,October,2017-10-01,2017-10-31,31,2,Tuesday,44,5
2017-11-01,2017,2,4,11,November,2017-11-01,2017-11-30,1,3,Wednesday,44,1
